callsign,origin,arr_hour,arr_min,pax,status
EJU59CM,LIVE,22,13,180,approaching
EJU67FK,LIVE,22,13,180,landed
EJU7147,LIVE,22,13,180,landed
EJU92KQ,LIVE,22,13,180,approaching
BCS4KN,LIVE,22,13,180,landed
RYR3TJ,LIVE,22,13,180,approaching
RYR13GV,LIVE,22,13,180,approaching
